   Semestr |    Zapsáno |   Známka 1 |   Známka 2 |   Známka 3 |   Známka 4 | Se zápočtem
ZS 1996/97 |         32 |         16 |         10 |          4 |          0 |         30
ZS 2001/02 |         54 |         19 |         18 |         10 |          2 |         49
ZS 2002/03 |         70 |         17 |         21 |         19 |          0 |         57
ZS 2003/04 |         79 |         23 |         21 |         26 |          0 |         70
ZS 2004/05 |         56 |         19 |         20 |         11 |          0 |         50
ZS 2005/06 |        110 |         19 |         58 |         29 |          1 |        107
ZS 2006/07 |         80 |         27 |         30 |         16 |          0 |         73
ZS 2007/08 |         78 |         25 |         31 |          9 |          0 |         65
ZS 2008/09 |         62 |          9 |         34 |          5 |          1 |         49
ZS 2009/10 |         75 |         11 |         27 |         13 |          0 |         51
ZS 2010/11 |         82 |          9 |         23 |         16 |          1 |         49
ZS 2011/12 |         79 |          3 |         23 |         21 |          0 |         47
ZS 2012/13 |         95 |          5 |         15 |         32 |          0 |         52
ZS 2013/14 |         67 |          2 |         11 |         32 |          1 |         46
ZS 2014/15 |         60 |          3 |         15 |         15 |          1 |         34
ZS 2015/16 |         45 |          4 |         14 |         12 |          0 |         30
ZS 2016/17 |         41 |         11 |          6 |          8 |          1 |         26
ZS 2017/18 |         41 |          1 |         12 |         18 |          4 |         35
ZS 2018/19 |         38 |          1 |          8 |         13 |          0 |         22
ZS 2019/20 |         28 |          3 |          9 |         10 |          2 |         24
